Results for game StaticBoard5 against Greedy
Each cycle contains 100 games, where first half of games StaticBoard5 is black and second half Greedy is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
StaticBoard5,Greedy,Discs_StaticBoard5,Discs_Greedy
1,0,43,21
1,0,49,15
1,0,38,26
1,0,47,17
1,0,42,22
1,0,52,12
1,0,50,14
1,0,45,19
1,0,47,17
1,0,40,24
1,0,46,18
1,0,40,24
1,0,51,13
1,0,53,11
1,0,47,17
1,0,49,15
1,0,53,11
1,0,48,16
1,0,46,18
1,0,35,29
1,0,49,15
1,0,54,10
1,0,49,15
1,0,33,31
1,0,39,25
1,0,50,14
1,0,42,22
1,0,40,24
1,0,48,16
1,0,37,27
1,0,46,18
1,0,53,11
1,0,43,21
1,0,44,20
1,0,43,21
1,0,39,25
1,0,42,22
1,0,42,22
1,0,47,17
1,0,47,17
1,0,39,25
1,0,43,21
1,0,43,21
1,0,48,16
1,0,45,19
1,0,51,13
1,0,49,15
1,0,50,14
1,0,46,18
1,0,48,16
1,0,44,20
1,0,52,12
1,0,51,13
1,0,46,18
1,0,37,27
1,0,40,24
1,0,48,16
1,0,41,23
1,0,46,18
1,0,49,15
1,0,55,9
1,0,52,12
1,0,51,13
1,0,49,15
0,1,21,43
1,0,47,17
1,0,40,24
1,0,49,15
1,0,41,23
1,0,45,19
1,0,43,21
1,0,50,14
1,0,53,11
1,0,50,14
1,0,51,13
1,0,46,18
1,0,49,15
1,0,40,24
1,0,45,19
1,0,51,13
1,0,43,21
1,0,35,29
1,0,54,10
1,0,46,18
1,0,48,16
1,0,50,14
1,0,37,27
1,0,55,9
1,0,53,11
1,0,46,18
1,0,43,21
1,0,43,21
1,0,60,4
1,0,47,17
1,0,46,18
1,0,46,18
1,0,46,18
1,0,53,11
1,0,34,30
1,0,40,24

Cycle: 1
StaticBoard5,Greedy,Discs_StaticBoard5,Discs_Greedy
1,0,44,20
1,0,42,22
1,0,40,24
1,0,49,15
1,0,53,11
1,0,52,12
1,0,39,25
1,0,47,17
1,0,43,21
1,0,42,22
1,0,46,18
1,0,49,15
1,0,47,17
1,0,56,8
1,0,45,19
1,0,51,13
1,0,41,23
1,0,53,11
1,0,40,24
1,0,50,14
1,0,48,16
1,0,56,8
1,0,40,24
1,0,46,18
1,0,43,21
1,0,48,16
1,0,40,24
1,0,36,28
1,0,48,16
