Results for game DynamicBoard5 against Greedy
Each cycle contains 100 games, where first half of games DynamicBoard5 is black and second half Greedy is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,54,10
1,0,52,12
1,0,43,21
1,0,53,11
1,0,46,18
1,0,38,26
1,0,43,21
1,0,48,16
1,0,52,12
1,0,56,8
1,0,46,18
1,0,42,22
1,0,51,13
1,0,41,23
1,0,51,13
1,0,52,12
1,0,38,26
1,0,41,23
1,0,41,23
1,0,38,26
1,0,44,20
1,0,57,7
1,0,44,20
1,0,40,24
1,0,54,10
1,0,46,18
1,0,59,5
1,0,39,25
1,0,47,17
1,0,54,10
1,0,47,17
1,0,49,15
1,0,51,13
0,0,32,32
1,0,50,14
1,0,47,17
1,0,48,16
1,0,51,13
1,0,42,22
1,0,51,13
1,0,52,12
1,0,53,11
1,0,43,21
1,0,42,22
1,0,55,9
1,0,53,11
1,0,54,10
1,0,51,13
1,0,55,9
1,0,56,8
1,0,53,11
1,0,50,14
1,0,54,10
1,0,47,17
1,0,50,14
1,0,49,15
1,0,47,17
1,0,43,21
1,0,45,19
1,0,47,17
1,0,45,19
1,0,55,9
1,0,50,14
1,0,49,15
1,0,55,9
1,0,56,8
1,0,55,9
1,0,53,11
1,0,57,7
1,0,54,10
1,0,55,9
1,0,49,15
1,0,54,10
1,0,50,14
1,0,52,12
1,0,54,10
1,0,49,15
1,0,56,8
1,0,50,14
1,0,57,7
1,0,55,9
1,0,56,8
1,0,44,20
1,0,52,12
1,0,52,12
1,0,48,16
1,0,55,9
1,0,43,21
1,0,57,7
1,0,50,14
1,0,54,10
1,0,46,18
1,0,42,22
1,0,56,8
1,0,53,11
1,0,56,8
1,0,41,23
1,0,48,16
1,0,45,19
1,0,51,13

Cycle: 1
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,34,30
1,0,39,25
1,0,42,22
1,0,54,10
1,0,58,6
1,0,45,19
1,0,52,12
1,0,43,21
1,0,46,18
1,0,59,5
1,0,57,7
1,0,41,23
1,0,56,8
1,0,52,12
1,0,52,12
1,0,51,13
1,0,46,18
1,0,50,14
1,0,46,18
1,0,52,12
1,0,54,10
1,0,49,15
1,0,53,11
1,0,43,21
1,0,43,21
1,0,51,13
1,0,54,10
1,0,55,9
1,0,50,14
1,0,63,1
1,0,55,9
1,0,46,18
1,0,54,10
1,0,61,3
1,0,54,10
1,0,51,13
1,0,51,13
1,0,54,10
1,0,45,19
1,0,52,12
1,0,56,8
1,0,49,15
1,0,48,16
1,0,41,23
1,0,45,19
1,0,51,13
1,0,48,16
1,0,58,6
1,0,55,9
1,0,38,26
1,0,51,13
1,0,52,12
1,0,58,6
1,0,48,16
1,0,50,14
1,0,49,15
1,0,52,12
1,0,54,10
1,0,44,20
1,0,59,5
1,0,46,18
1,0,52,12
1,0,53,11
1,0,56,8
1,0,50,14
1,0,46,18
1,0,51,13
1,0,52,12
1,0,54,10
1,0,55,9
1,0,56,8
1,0,53,11
1,0,46,18
1,0,54,10
1,0,45,19
1,0,47,17
1,0,50,14
1,0,42,22
1,0,42,22
1,0,56,8
1,0,48,16
1,0,43,21
1,0,57,7
1,0,52,12
1,0,59,5
1,0,48,16
1,0,55,9
1,0,43,21
1,0,46,18
1,0,44,20
1,0,54,10
1,0,46,18
1,0,49,15
1,0,49,15
1,0,51,13
1,0,55,9
1,0,51,13
1,0,51,13
1,0,54,10
1,0,44,20

Cycle: 2
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,56,8
1,0,53,11
1,0,44,20
1,0,55,9
1,0,58,6
1,0,60,4
1,0,56,8
1,0,54,10
1,0,49,15
1,0,33,31
1,0,47,17
1,0,36,28
1,0,44,20
1,0,42,22
1,0,47,17
1,0,39,25
1,0,51,13
1,0,53,11
1,0,39,25
1,0,49,15
1,0,51,13
1,0,53,11
1,0,51,13
1,0,51,13
1,0,43,21
1,0,49,15
1,0,40,24
1,0,59,5
1,0,36,28
1,0,55,9
1,0,52,12
1,0,56,8
1,0,54,10
1,0,58,6
1,0,47,17
1,0,49,15
1,0,51,13
1,0,45,19
1,0,48,16
1,0,50,14
1,0,55,9
1,0,50,14
1,0,49,15
1,0,53,11
1,0,58,6
1,0,52,12
1,0,48,16
1,0,40,24
1,0,47,17
1,0,44,20
1,0,50,14
1,0,47,17
1,0,57,7
1,0,49,15
1,0,46,18
1,0,55,9
1,0,39,25
1,0,48,16
1,0,48,16
1,0,53,11
1,0,55,9
1,0,57,7
1,0,50,14
1,0,47,17
1,0,53,11
1,0,52,12
1,0,55,9
1,0,51,13
1,0,48,16
1,0,47,17
1,0,64,0
1,0,48,16
1,0,56,8
1,0,51,13
1,0,46,18
1,0,51,13
1,0,59,5
1,0,52,12
1,0,49,15
1,0,48,16
1,0,52,12
1,0,45,19
1,0,47,17
1,0,50,14
1,0,46,18
1,0,36,28
1,0,57,7
1,0,44,20
1,0,50,14
1,0,55,9
1,0,46,18
1,0,52,12
1,0,42,22
1,0,54,10
1,0,48,16
1,0,48,16
1,0,50,14
1,0,54,10
1,0,46,18
1,0,52,12

Cycle: 3
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,63,1
1,0,50,14
1,0,58,6
1,0,51,13
1,0,44,20
1,0,49,15
1,0,44,20
1,0,43,21
1,0,40,24
1,0,44,20
1,0,47,17
1,0,51,13
1,0,55,9
1,0,47,17
1,0,56,8
1,0,52,12
1,0,56,8
1,0,45,19
1,0,55,9
1,0,50,14
1,0,42,22
1,0,53,11
1,0,48,16
1,0,44,20
1,0,52,12
1,0,54,10
1,0,47,17
1,0,42,22
1,0,49,15
1,0,51,13
1,0,37,27
1,0,47,17
1,0,57,7
1,0,53,11
1,0,49,15
1,0,43,21
1,0,53,11
1,0,45,19
1,0,40,24
1,0,51,13
1,0,48,16
1,0,52,12
1,0,57,7
1,0,54,10
1,0,51,13
1,0,51,13
1,0,48,16
1,0,47,17
1,0,48,16
1,0,54,10
1,0,48,16
1,0,49,15
1,0,49,15
1,0,51,13
1,0,51,13
1,0,51,13
1,0,54,10
1,0,49,15
1,0,48,16
1,0,47,17
1,0,51,13
1,0,51,13
1,0,58,6
1,0,52,12
1,0,43,21
1,0,53,11
1,0,52,12
1,0,63,1
1,0,50,14
1,0,61,3
1,0,52,12
1,0,52,12
1,0,46,18
1,0,55,9
1,0,47,17
1,0,43,21
1,0,48,16
1,0,59,5
1,0,48,16
1,0,57,7
1,0,53,11
1,0,49,15
1,0,56,8
1,0,51,13
1,0,49,15
1,0,43,21
1,0,51,13
1,0,53,11
1,0,57,7
1,0,52,12
1,0,53,11
1,0,40,24
1,0,50,14
1,0,48,16
1,0,55,9
1,0,43,21
1,0,43,21
1,0,40,24
1,0,47,17
1,0,54,10

Cycle: 4
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,51,13
1,0,50,14
1,0,52,12
1,0,49,15
1,0,39,25
1,0,57,7
1,0,49,15
1,0,49,15
1,0,51,13
1,0,48,16
1,0,46,18
1,0,55,9
1,0,55,9
1,0,47,17
1,0,48,16
1,0,58,6
1,0,42,22
1,0,42,22
1,0,44,20
1,0,56,8
1,0,51,13
1,0,41,23
1,0,48,16
1,0,43,21
1,0,50,14
1,0,47,17
1,0,44,20
1,0,53,11
1,0,43,21
1,0,57,7
1,0,52,12
1,0,54,10
1,0,48,16
1,0,52,12
1,0,49,15
1,0,53,11
1,0,51,13
1,0,48,16
1,0,48,16
1,0,53,11
1,0,44,20
1,0,58,6
1,0,38,26
1,0,58,6
1,0,44,20
1,0,47,17
1,0,41,23
1,0,59,5
1,0,37,27
1,0,57,7
1,0,49,15
1,0,53,11
1,0,49,15
1,0,54,10
1,0,42,22
1,0,44,20
1,0,45,19
1,0,54,10
1,0,52,12
1,0,47,17
1,0,43,21
1,0,52,12
1,0,50,14
1,0,41,23
1,0,54,10
1,0,52,12
1,0,59,5
1,0,53,11
1,0,51,13
1,0,45,19
1,0,50,14
1,0,52,12
1,0,54,10
1,0,47,17
1,0,46,18
1,0,53,11
1,0,48,16
1,0,45,19
1,0,49,15
1,0,57,7
1,0,46,18
1,0,48,16
1,0,49,15
1,0,53,11
1,0,46,18
1,0,48,16
1,0,52,12
1,0,49,15
1,0,52,12
1,0,49,15
1,0,48,16
1,0,51,13
1,0,48,16
1,0,47,17
1,0,49,15
1,0,56,8
1,0,44,20
1,0,54,10
1,0,52,12
1,0,51,13

Cycle: 5
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,40,24
1,0,55,9
1,0,56,8
1,0,43,21
1,0,55,9
1,0,47,17
1,0,52,12
1,0,62,2
1,0,46,18
1,0,49,15
1,0,54,10
1,0,54,10
1,0,53,11
1,0,44,20
1,0,37,27
1,0,47,17
1,0,49,15
1,0,55,9
1,0,47,17
1,0,57,7
1,0,50,14
1,0,56,8
1,0,57,7
1,0,51,13
1,0,54,10
1,0,51,13
1,0,57,7
1,0,62,2
1,0,53,11
1,0,51,13
1,0,40,24
1,0,52,12
1,0,44,20
1,0,42,22
1,0,55,9
1,0,55,9
1,0,46,18
1,0,55,9
1,0,43,21
1,0,56,8
1,0,55,9
1,0,47,17
1,0,37,27
1,0,37,27
1,0,41,23
1,0,51,13
1,0,54,10
1,0,43,21
1,0,53,11
1,0,48,16
1,0,46,18
1,0,57,7
1,0,55,9
1,0,51,13
1,0,52,12
1,0,45,19
1,0,46,18
1,0,55,9
1,0,48,16
1,0,49,15
1,0,53,11
1,0,46,18
1,0,58,6
1,0,53,11
1,0,41,23
1,0,43,21
1,0,56,8
1,0,52,12
1,0,50,14
1,0,54,10
1,0,49,15
1,0,47,17
1,0,56,8
1,0,51,13
1,0,56,8
1,0,50,14
1,0,55,9
1,0,52,12
1,0,57,7
1,0,49,15
1,0,51,13
1,0,49,15
1,0,47,17
1,0,48,16
1,0,43,21
1,0,54,10
1,0,46,18
1,0,49,15
1,0,57,7
1,0,54,10
0,0,32,32
1,0,47,17
1,0,40,24
1,0,60,4
1,0,52,12
1,0,51,13
1,0,56,8
1,0,47,17
1,0,51,13
1,0,50,14

Cycle: 6
DynamicBoard5,Greedy,Discs_DynamicBoard5,Discs_Greedy
1,0,41,23
1,0,45,19
1,0,52,12
1,0,42,22
1,0,54,10
1,0,54,10
1,0,52,12
1,0,50,14
1,0,44,20
1,0,54,10
1,0,38,26
1,0,47,17
1,0,47,17
1,0,50,14
1,0,50,14
1,0,55,9
1,0,55,9
1,0,51,13
1,0,48,16
1,0,50,14
1,0,45,19
1,0,41,23
1,0,50,14
1,0,52,12
1,0,48,16
1,0,46,18
1,0,56,8
1,0,44,20
0,1,27,37
