Results for game Edax3 against Greedy
Each cycle contains 100 games, where first half of games Edax3 is black and second half Greedy is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax3,Greedy,Discs_Edax3,Discs_Greedy
1,0,58,6
1,0,59,5
1,0,60,4
1,0,56,8
1,0,61,3
1,0,59,5
1,0,51,13
1,0,62,2
1,0,64,0
1,0,53,11
1,0,63,1
1,0,58,6
1,0,53,11
1,0,54,10
1,0,57,7
1,0,56,8
1,0,60,4
1,0,64,0
1,0,59,5
1,0,64,0
1,0,59,5
1,0,64,0
1,0,63,1
1,0,59,5
1,0,57,7
1,0,64,0
1,0,63,1
1,0,64,0
1,0,64,0
1,0,50,14
1,0,63,1
1,0,62,2
1,0,54,10
1,0,64,0
1,0,53,11
1,0,62,2
1,0,64,0
1,0,57,7
1,0,61,3
1,0,55,9
1,0,58,6
1,0,64,0
1,0,64,0
1,0,64,0
1,0,58,6
1,0,64,0
1,0,63,1
1,0,60,4
1,0,59,5
1,0,62,2
1,0,59,5
1,0,61,3
1,0,53,11
1,0,57,7
1,0,59,5
1,0,59,5
1,0,61,3
1,0,54,10
1,0,61,3
1,0,63,1
1,0,64,0
1,0,63,1
1,0,61,3
0,1,0,64
1,0,60,4
1,0,51,13
1,0,64,0
1,0,57,7
1,0,59,5
1,0,55,9
1,0,53,11
1,0,57,7
1,0,64,0
1,0,64,0
1,0,59,5
1,0,58,6
1,0,57,7
1,0,48,16
1,0,57,7
1,0,61,3
1,0,59,5
1,0,60,4
1,0,57,7
1,0,54,10
1,0,57,7
1,0,56,8
1,0,53,11
1,0,64,0
1,0,48,16
1,0,48,16
1,0,60,4
1,0,58,6
1,0,56,8
1,0,63,1
1,0,57,7
1,0,61,3
1,0,64,0
1,0,63,1
1,0,64,0
1,0,60,4

Cycle: 1
Edax3,Greedy,Discs_Edax3,Discs_Greedy
1,0,61,3
1,0,57,7
1,0,64,0
1,0,64,0
1,0,59,5
1,0,53,11
1,0,64,0
1,0,57,7
1,0,64,0
1,0,54,10
1,0,55,9
1,0,62,2
1,0,63,1
1,0,64,0
1,0,52,12
1,0,64,0
1,0,63,1
1,0,61,3
1,0,61,3
1,0,57,7
1,0,62,2
1,0,62,2
1,0,43,21
1,0,61,3
1,0,58,6
1,0,59,5
1,0,64,0
1,0,60,4
1,0,57,7
1,0,55,9
1,0,54,10
1,0,64,0
1,0,62,2
1,0,54,10
1,0,64,0
1,0,61,3
1,0,56,8
1,0,54,10
1,0,64,0
1,0,62,2
1,0,57,7
1,0,55,9
1,0,53,11
1,0,53,11
1,0,61,3
1,0,61,3
1,0,57,7
1,0,56,8
1,0,62,2
1,0,55,9
1,0,53,11
1,0,57,7
1,0,56,8
1,0,63,1
1,0,62,2
1,0,57,7
1,0,61,3
1,0,54,10
1,0,55,9
1,0,61,3
1,0,64,0
1,0,55,9
1,0,56,8
1,0,58,6
1,0,55,9
1,0,53,11
1,0,52,12
1,0,61,3
1,0,48,16
1,0,61,3
1,0,58,6
1,0,59,5
1,0,57,7
1,0,57,7
1,0,61,3
1,0,58,6
1,0,56,8
1,0,62,2
1,0,51,13
1,0,58,6
1,0,61,3
1,0,52,12
1,0,54,10
1,0,63,1
1,0,64,0
1,0,55,9
1,0,64,0
1,0,54,10
1,0,63,1
1,0,64,0
1,0,55,9
1,0,60,4
0,1,0,64
1,0,61,3
1,0,64,0
1,0,64,0
1,0,62,2
1,0,60,4
1,0,59,5
1,0,58,6

Cycle: 2
Edax3,Greedy,Discs_Edax3,Discs_Greedy
1,0,64,0
1,0,57,7
1,0,62,2
1,0,64,0
1,0,63,1
1,0,59,5
1,0,60,4
1,0,63,1
1,0,64,0
1,0,52,12
1,0,64,0
