50 games Roxanne against AlphaBeta6 for Roxanne: black and AlphaBeta6: white.
"In first two columns winner gets 1 looser 0"

AlphaBeta6_Winning,Roxanne_Winning,Discs_AlphaBeta6,Discs_Roxanne
1,0,58,6
1,0,40,24
1,0,54,10
1,0,44,20
1,0,47,17
1,0,64,0
1,0,64,0
1,0,64,0
1,0,60,4
1,0,48,16
1,0,54,10
1,0,60,4
1,0,53,11
1,0,57,7
1,0,55,9
1,0,51,13
1,0,59,5
1,0,57,7
1,0,53,11
1,0,52,12
1,0,64,0
1,0,61,3
1,0,63,1
1,0,51,13
1,0,52,12
1,0,64,0
1,0,59,5
1,0,62,2
1,0,51,13
1,0,59,5
1,0,51,13
1,0,64,0
1,0,50,14
1,0,64,0
1,0,57,7
1,0,62,2
1,0,64,0
1,0,56,8
1,0,51,13
1,0,58,6
1,0,47,17
1,0,63,1
1,0,53,11
1,0,52,12
1,0,55,9
1,0,49,15
1,0,63,1
1,0,52,12
1,0,61,3
1,0,53,11

Results for AlphaBeta6 black and Roxanne white:
Information,AlphaBeta6,Roxanne,Draw
total wins,50,0,0
percentage wins,1.0,0.0,0.0
disc difference winnig,43.28,0

Results for AlphaBeta6 white and Roxanne black:
Information,AlphaBeta6,Roxanne,Draw
total wins,50,0,0
percentage wins,1.0,0.0,0.0
disc difference winnig,48.2,0

Total Results:
Information,AlphaBeta6,Roxanne,Draw
total wins,100,0,0
percentage wins,1.0,0.0,0.0
disc difference winnig,45.74,0
